36	41	68	107	112	158	164	182	183
7	21	26	31	68	158	164	182	183
31	41	68	107	144	158	180	182	183
36	68	107	109	115	158	164	182	183
36	56	68	107	144	158	170	182	183
36	68	107	109	137	144	158	183	194
21	26	30	36	42	68	158	183	194
7	36	68	97	107	158	164	182	183
7	31	68	112	158	183	194	195	201
8	21	29	36	68	144	158	182	183
3	31	68	107	112	152	158	182	183
21	31	68	107	148	158	164	182	183
30	36	68	97	107	158	183	184	194
4	31	68	109	158	180	183	194	195
21	36	68	107	109	158	182	183	184
30	36	68	102	158	164	180	182	183
30	36	68	107	158	183	184	194	200
31	68	107	158	170	179	182	183	184
9	36	68	112	158	170	182	183	184
8	36	42	68	158	180	183	194	201
3	21	31	68	107	152	158	182	183
21	31	68	107	109	158	164	183	194
6	31	68	107	109	158	164	183	194
21	22	30	36	42	68	158	183	194
21	30	36	68	158	164	183	194	205
36	42	68	77	107	158	170	183	194
10	30	36	68	144	158	180	183	194
7	31	68	107	158	179	182	183	184
7	36	68	107	143	144	158	183	194
8	10	21	31	68	158	183	194	195
21	36	41	68	107	144	158	183	194
36	41	68	107	112	144	158	182	183
8	25	36	42	68	107	158	182	183
8	21	22	36	42	68	158	182	183
30	36	42	68	89	158	180	183	194
7	36	68	112	158	182	183	184	201
8	21	36	68	107	158	183	184	194
36	68	97	107	109	158	182	183	184
7	36	68	89	112	144	158	182	183
30	36	56	68	107	144	158	183	194
8	27	31	68	158	180	183	194	195
30	36	68	107	144	158	180	183	194
5	36	68	112	144	158	170	182	183
8	36	68	107	158	164	175	182	183
4	36	42	68	158	170	180	182	183
36	68	107	137	158	170	182	183	184
21	36	68	146	158	164	170	183	194
7	36	68	107	158	175	182	183	184
7	36	42	68	112	158	183	194	205
3	31	41	68	107	158	180	182	183
3	31	68	107	112	158	172	183	194
26	30	36	68	112	158	182	183	184
30	36	68	146	158	180	182	183	184
30	36	68	112	158	182	183	184	201
3	31	68	77	107	109	158	182	183
21	27	30	36	42	68	158	182	183
4	36	68	112	158	164	170	182	183
4	30	36	42	68	158	180	183	194
3	5	8	31	68	112	158	182	183
36	68	158	164	170	180	182	183	205
3	27	42	68	109	158	180	183	194
3	29	31	68	158	170	180	182	183
