19	30	31	35	89	118	148	158	175	194	195
31	109	118	148	156	158	180	183	194	195	201
7	26	31	53	115	118	148	156	158	194	205
8	31	104	107	118	148	156	158	183	194	195
8	21	31	107	118	148	156	158	183	194	195
26	30	31	104	118	148	156	158	194	203	205
21	30	31	35	41	66	118	148	158	194	205
7	26	31	97	118	143	148	156	158	194	205
31	36	77	89	104	118	148	158	190	194	195
19	31	66	77	112	118	148	158	183	194	195
7	26	31	97	118	148	158	168	183	194	195
31	35	89	112	118	148	152	158	190	194	195
24	31	112	118	148	156	158	175	183	194	195
4	6	12	19	31	118	148	158	190	194	195
21	24	31	85	118	148	158	174	194	195	205
24	29	31	112	118	148	158	174	190	194	195
4	6	19	31	83	118	148	158	190	194	195
21	31	107	118	128	148	156	158	183	194	195
31	78	112	118	148	156	158	180	183	194	195
21	31	35	89	103	118	148	158	190	194	195
21	31	64	89	109	118	148	158	194	195	203
24	31	72	118	148	158	174	175	190	194	195
7	26	31	66	115	118	148	158	188	194	205
31	66	104	112	118	148	158	175	183	194	195
31	83	104	118	148	158	172	190	194	195	205
24	31	102	103	118	148	158	174	190	194	195
22	24	30	31	107	118	148	158	174	194	195
8	12	31	41	97	118	148	158	190	194	205
0	8	26	31	97	118	148	158	194	203	205
24	26	31	112	118	148	158	174	190	194	195
31	35	89	112	115	118	148	158	190	194	195
26	31	104	109	118	148	156	158	194	203	205
21	31	35	89	104	118	148	158	190	194	195
31	35	89	109	115	118	148	158	188	194	195
31	66	78	112	118	148	158	180	183	194	195
19	21	31	112	118	148	156	158	183	194	195
21	31	107	111	118	148	156	158	183	194	195
31	89	112	118	148	158	180	190	194	195	197
31	36	52	89	104	118	148	158	190	194	195
7	21	31	35	41	66	118	148	158	194	205
21	31	107	115	118	148	156	158	183	194	195
19	30	31	35	89	118	148	158	179	194	195
30	31	77	107	118	148	156	158	183	194	195
19	31	36	89	112	118	148	158	190	194	195
24	27	31	118	142	148	158	174	175	190	194
26	30	31	115	118	148	156	158	194	203	205
7	31	97	118	148	158	168	183	194	195	201
31	36	89	112	118	148	158	188	190	194	195
4	7	12	31	118	148	158	180	190	194	195
7	21	31	107	118	148	156	158	183	194	195
7	31	66	112	118	143	148	158	183	194	195
21	24	31	35	41	66	118	148	158	194	205
6	31	66	118	148	158	170	194	195	203	205
7	31	97	118	148	156	158	175	183	194	195
31	35	89	97	112	118	148	158	190	194	195
21	26	31	66	97	118	148	158	183	194	195
7	26	31	115	118	148	158	168	188	194	205
19	30	31	35	89	107	118	148	158	194	195
21	31	35	89	109	118	148	158	190	194	195
19	30	31	35	89	118	148	158	180	194	195
21	24	31	35	89	118	148	158	190	194	195
8	26	31	97	118	148	156	158	183	194	195
22	24	31	109	118	148	158	174	194	195	201
21	24	31	112	118	148	156	158	183	194	195
21	31	35	89	117	118	148	158	190	194	195
19	30	31	35	89	108	118	148	158	194	195
31	41	66	85	115	118	148	158	170	194	205
6	7	31	97	118	148	158	168	183	194	195
19	21	31	118	148	156	158	183	194	195	201
25	30	31	107	118	148	156	158	183	194	195
19	30	31	35	89	104	118	148	158	194	195
6	21	31	107	118	148	156	158	183	194	195
31	66	112	118	148	158	170	194	195	203	205
31	35	89	112	118	148	158	180	190	194	195
8	31	107	112	118	148	156	158	183	194	195
31	35	89	109	112	118	148	158	190	194	195
7	12	31	41	97	118	148	158	190	194	205
31	66	77	118	148	158	170	194	195	203	205
4	19	30	31	35	89	118	148	158	194	195
31	35	73	89	112	118	148	158	190	194	195
12	19	21	31	118	148	158	190	194	195	205
31	40	66	112	118	148	158	180	183	194	195
31	36	48	89	104	118	148	158	190	194	195
31	36	89	104	118	148	158	175	190	194	195
31	112	118	148	156	158	161	180	183	194	195
4	12	19	31	77	118	148	158	190	194	195
31	66	109	112	118	143	148	158	183	194	195
7	21	31	35	50	89	118	148	158	194	195
19	21	31	66	112	118	148	158	183	194	195
21	31	35	66	97	118	148	158	183	194	195
31	48	112	118	148	156	158	180	183	194	195
7	31	97	107	118	148	158	168	183	194	195
21	31	35	89	118	148	152	158	190	194	195
7	31	41	104	118	148	156	158	190	194	205
7	31	97	112	118	148	156	158	183	194	195
31	41	104	118	148	156	158	170	190	194	205
31	35	89	112	118	148	149	158	190	194	195
31	45	112	118	148	156	158	180	183	194	195
7	26	31	66	104	118	148	158	188	194	205
7	31	97	118	148	158	168	175	183	194	195
7	31	36	89	104	118	148	158	190	194	195
26	31	66	109	118	148	158	180	194	203	205
6	31	36	89	118	148	158	190	194	195	203
21	31	64	77	89	118	148	158	194	195	203
