25	29	102	117	118	170	174	182	185	195	197
29	41	102	109	117	118	170	174	175	182	195
29	31	41	102	117	118	129	170	174	182	195
12	29	41	102	117	118	170	174	175	182	195
29	31	41	77	102	117	118	170	174	182	195
24	29	41	102	114	117	118	170	174	182	195
6	29	102	117	118	170	174	182	185	195	197
29	97	102	117	118	156	170	182	190	195	204
29	31	41	102	115	117	118	170	174	182	195
29	76	102	117	118	170	174	182	185	190	195
29	35	41	102	117	118	170	174	178	182	195
29	41	89	102	117	118	170	182	195	197	200
29	35	68	85	97	102	117	118	170	174	195
29	76	102	112	117	118	170	174	182	185	195
22	29	41	102	117	118	167	170	174	182	195
29	55	97	102	117	118	156	170	182	195	203
29	31	102	117	118	170	174	176	182	185	195
28	29	97	102	114	117	118	156	170	182	195
0	24	29	102	117	118	156	170	182	195	197
29	97	102	117	118	149	152	170	174	182	195
29	60	97	102	117	118	156	170	174	182	195
29	41	56	68	89	102	117	118	170	182	195
29	40	41	93	102	117	118	170	174	182	195
29	41	89	102	117	118	170	174	182	190	195
29	41	78	89	102	117	118	170	182	195	203
29	41	102	117	118	120	170	174	181	182	195
29	31	83	102	117	118	142	170	174	182	195
29	41	97	102	117	118	152	170	174	182	195
29	41	89	102	103	117	118	170	181	182	195
24	29	41	83	102	117	118	170	174	182	195
29	31	41	102	104	117	118	170	174	182	195
29	85	97	102	117	118	156	158	170	195	203
29	41	76	102	117	118	167	170	174	182	195
24	29	41	102	117	118	142	170	174	182	195
29	77	102	117	118	170	174	175	182	185	195
18	29	30	97	102	117	118	156	170	182	195
29	76	83	102	117	118	148	170	174	182	195
19	29	41	102	117	118	170	174	175	182	195
29	41	89	102	103	117	118	167	170	182	195
29	41	89	102	112	117	118	141	170	182	195
28	29	30	102	117	118	156	170	182	183	195
22	29	31	41	102	117	118	170	174	182	195
29	68	85	97	102	104	117	118	168	170	195
29	41	76	97	102	117	118	170	174	182	195
24	29	41	89	102	117	118	170	182	184	195
29	30	61	97	102	117	118	156	170	182	195
21	29	35	41	102	117	118	170	174	182	195
29	63	85	102	117	118	149	156	170	183	195
29	76	97	102	117	118	170	174	182	185	195
19	22	29	39	102	117	118	156	170	182	195
6	29	68	85	97	102	117	118	170	174	195
8	29	41	89	101	102	117	118	170	182	195
29	41	93	102	117	118	129	170	174	182	195
29	76	83	97	102	117	118	170	174	182	195
8	18	29	85	97	102	117	118	156	170	195
29	41	76	102	117	118	170	174	181	182	195
6	29	41	56	102	117	118	170	174	182	195
29	62	85	97	102	112	117	118	156	170	195
29	41	97	102	117	118	170	174	176	182	195
29	41	89	102	109	117	118	167	170	182	195
29	31	83	102	117	118	170	174	176	182	195
21	29	41	102	117	118	167	170	174	182	195
21	29	41	89	102	117	118	141	170	182	195
29	41	93	102	117	118	170	174	182	184	195
29	37	89	97	102	117	118	156	170	182	195
22	29	68	102	109	117	118	158	170	174	195
29	41	102	117	118	170	174	181	182	184	195
29	58	85	97	102	117	118	129	156	170	195
26	29	102	117	118	170	174	175	182	185	195
29	41	93	102	109	117	118	170	174	182	195
19	29	102	117	118	170	174	175	182	185	195
21	29	97	102	117	118	129	156	170	182	195
29	31	102	116	117	118	170	174	182	185	195
29	76	83	102	116	117	118	170	174	182	195
8	29	31	102	117	118	170	174	182	185	195
29	41	89	102	117	118	167	170	182	184	195
29	35	41	83	102	117	118	170	174	182	195
29	30	55	97	102	117	118	156	170	182	195
29	76	102	117	118	170	174	180	182	185	195
29	41	72	89	101	102	117	118	170	182	195
29	41	89	102	115	117	118	170	182	190	195
29	31	66	68	97	102	117	118	170	185	195
29	31	73	102	117	118	170	174	182	185	195
29	77	102	117	118	170	174	182	185	195	197
29	102	117	118	170	174	175	180	182	185	195
29	58	72	97	102	117	118	156	170	182	195
29	76	83	102	117	118	170	174	182	184	195
17	29	97	102	117	118	156	170	182	186	195
29	59	85	97	102	117	118	129	156	170	195
29	35	76	83	102	117	118	170	174	182	195
24	29	102	107	115	117	118	156	170	182	195
19	29	55	85	97	102	117	118	156	170	195
29	30	41	56	102	117	118	170	174	182	195
6	29	35	41	89	102	117	118	170	182	195
29	85	92	97	102	114	117	118	156	170	195
29	31	83	102	117	118	161	170	174	182	195
25	29	41	102	117	118	137	170	174	182	195
29	41	89	102	117	118	141	149	170	182	195
17	29	37	85	97	102	117	118	156	170	195
29	40	102	117	118	170	174	182	185	195	197
29	89	97	102	117	118	156	158	170	182	195
