0	2	26	31	40	41	68	89	107	116	118	133	170
0	26	31	40	41	68	76	89	107	116	118	170	202
31	40	41	89	107	112	116	117	118	170	180	195	201
0	26	31	40	41	68	89	99	107	116	118	148	170
0	26	31	40	41	68	79	89	107	108	116	118	170
31	40	41	68	89	97	102	107	116	118	129	170	196
0	31	40	41	88	89	103	107	116	118	170	195	201
31	40	41	89	103	107	116	117	118	170	174	195	201
0	26	31	40	41	68	89	107	116	118	141	145	170
0	26	31	40	41	68	77	89	107	111	116	118	170
31	40	41	89	103	107	116	117	118	170	195	201	205
0	26	31	40	41	68	89	107	116	118	170	174	186
0	26	31	40	41	56	68	79	89	107	116	118	170
0	26	31	40	41	68	89	107	116	118	170	186	199
0	26	31	40	41	68	89	107	111	116	118	122	170
6	31	39	40	41	89	107	116	117	118	170	190	195
31	40	41	89	103	107	114	116	117	118	170	195	201
0	26	31	40	41	68	76	77	89	107	116	118	170
31	40	41	68	85	89	102	107	116	118	170	178	196
24	31	40	41	89	103	107	116	117	118	170	183	184
31	41	68	89	97	102	103	107	116	118	170	190	196
0	26	31	40	41	68	79	89	107	116	118	148	170
31	40	41	71	89	107	116	117	118	170	195	200	201
0	26	31	40	41	68	89	107	109	116	118	125	170
31	40	89	102	107	116	117	118	170	176	183	185	188
24	31	40	41	89	107	115	116	117	118	170	183	203
6	31	40	41	89	107	116	117	118	170	182	195	201
0	7	26	31	40	41	68	89	99	107	116	118	170
26	31	40	41	68	89	102	107	116	118	170	180	182
8	31	36	40	41	85	89	107	116	117	118	170	195
0	24	31	41	77	89	107	116	118	120	170	190	195
0	26	31	40	41	68	89	107	116	118	170	193	202
31	41	65	68	89	97	102	107	116	118	144	170	196
0	26	31	40	41	68	89	107	115	116	118	125	170
31	40	41	71	89	107	116	117	118	143	170	195	201
0	26	29	31	40	41	68	89	107	116	118	170	186
8	31	41	68	89	97	102	107	116	118	170	190	196
31	40	41	68	89	97	102	107	116	118	170	196	197
24	31	40	41	89	104	107	116	117	118	170	183	203
24	31	40	41	79	89	107	116	117	118	120	170	183
0	2	26	31	40	41	68	79	89	107	116	118	170
24	31	40	41	89	107	111	116	117	118	120	170	183
26	31	41	68	81	89	97	102	107	116	118	170	196
0	26	31	40	41	68	69	89	107	116	118	158	170
31	40	41	64	89	107	116	117	118	170	180	195	201
6	31	40	41	68	89	102	107	116	117	118	170	190
0	7	31	40	41	89	103	107	116	118	170	195	201
0	26	31	40	41	68	89	93	107	115	116	118	170
0	7	26	31	40	41	68	89	107	116	118	133	170
0	26	31	40	41	68	79	89	107	116	118	145	170
24	31	40	41	71	89	107	116	117	118	120	170	183
31	40	85	89	102	107	109	116	117	118	170	176	183
0	26	31	40	41	56	68	89	107	116	118	120	170
31	40	41	89	107	116	117	118	170	174	182	195	201
28	31	41	68	89	97	102	107	116	118	120	170	196
24	31	40	41	89	107	116	117	118	170	183	190	197
31	40	41	68	89	102	107	116	117	118	152	170	190
0	26	31	40	41	68	77	89	107	116	118	170	186
0	26	31	40	41	68	77	89	99	107	116	118	170
24	31	40	41	89	107	116	117	118	133	170	183	190
0	26	31	40	41	68	71	89	107	108	116	118	170
22	31	35	40	41	72	89	107	116	117	118	170	195
0	31	41	68	89	102	103	107	116	118	130	170	196
31	40	41	67	68	89	97	102	107	116	118	170	196
0	26	31	40	41	68	89	107	111	116	118	145	170
31	40	41	68	89	102	107	115	116	117	118	170	175
31	40	41	72	89	107	116	117	118	170	182	195	201
0	26	31	40	41	68	72	89	107	116	118	170	175
0	26	31	40	41	68	85	89	107	116	118	126	170
0	26	30	31	40	41	68	89	107	111	116	118	170
30	31	40	89	102	107	116	117	118	156	170	176	183
0	6	26	31	40	41	68	89	107	116	118	170	197
29	31	40	102	107	116	118	120	170	174	180	194	195
31	40	89	102	107	116	117	118	161	170	176	183	203
31	40	41	68	85	89	102	107	112	116	118	170	196
26	31	40	41	68	76	89	102	107	116	118	170	182
0	26	31	40	41	68	89	104	107	116	118	141	170
0	24	26	31	40	41	68	89	107	116	118	120	170
0	26	31	40	41	68	89	107	116	118	145	170	203
24	28	31	40	41	89	107	116	117	118	170	183	190
24	31	40	41	89	107	116	117	118	170	183	184	190
24	31	40	41	89	103	107	114	116	117	118	170	183
24	31	40	41	89	107	111	116	117	118	170	183	190
24	31	40	41	89	107	116	117	118	170	174	183	190
0	26	30	31	40	41	68	89	99	107	116	118	170
28	30	31	41	68	89	97	102	107	116	118	170	196
24	31	40	41	89	107	115	116	117	118	170	183	190
31	36	40	85	89	102	107	116	117	118	170	176	183
31	41	68	89	97	102	107	116	118	120	170	190	196
0	26	31	40	41	68	89	107	109	116	118	170	186
0	2	26	31	40	41	68	75	89	107	116	118	170
0	26	30	31	40	41	68	89	107	116	118	125	170
0	26	31	40	41	68	89	93	107	116	118	170	174
24	31	35	40	41	89	107	116	117	118	170	172	183
0	31	41	72	89	97	107	116	118	120	170	190	195
0	26	31	40	41	68	89	107	109	116	118	141	170
24	31	40	41	89	104	107	116	117	118	120	170	183
28	31	41	68	72	89	97	102	107	116	118	170	196
31	41	66	68	89	102	107	116	118	130	143	170	196
24	31	40	41	89	107	116	117	118	120	170	183	184
0	26	31	40	41	68	89	107	116	118	122	158	170
0	8	31	40	41	89	103	107	116	118	170	195	201
0	26	31	40	41	68	77	89	107	116	118	120	170
0	18	26	31	40	41	68	89	107	116	118	122	170
0	26	31	40	41	68	89	107	116	118	133	170	184
24	31	40	41	62	89	107	116	117	118	170	183	197
18	31	40	41	68	89	102	107	115	116	117	118	170
24	31	40	41	87	89	103	107	116	117	118	170	183
0	6	26	31	40	41	68	89	107	116	118	170	186
0	21	26	31	40	41	68	89	107	116	118	170	186
0	31	40	41	89	103	107	116	118	170	182	195	201
31	40	41	89	103	107	111	116	117	118	170	195	201
0	8	26	31	40	41	68	89	107	116	118	120	170
31	40	41	68	89	97	102	107	109	116	118	170	196
31	40	41	89	107	116	117	118	143	170	180	195	201
26	31	41	68	89	97	102	107	116	118	170	196	204
0	17	26	31	40	41	68	79	89	107	116	118	170
0	26	31	40	41	68	71	89	104	107	116	118	170
0	26	31	40	41	68	85	89	107	116	118	170	202
0	26	31	40	41	68	89	107	116	118	141	170	199
0	26	31	40	41	68	72	78	89	107	116	118	170
24	31	40	41	89	103	107	116	117	118	133	170	183
8	31	40	41	68	89	102	107	111	116	118	170	196
0	26	29	31	40	41	68	76	89	107	116	118	170
31	40	89	102	107	116	117	118	170	172	176	183	203
0	31	41	89	97	107	116	118	120	170	183	190	195
24	31	40	41	88	89	103	107	116	117	118	170	183
0	26	31	40	41	68	79	89	102	107	116	118	170
0	26	31	40	41	68	76	89	107	116	118	126	170
4	31	40	41	89	103	107	116	117	118	170	195	201
31	40	41	89	103	107	116	117	118	170	195	197	201
0	8	26	31	40	41	68	79	89	107	116	118	170
24	28	31	36	40	41	89	107	116	117	118	170	183
0	30	31	40	41	89	103	107	116	118	170	195	201
0	8	26	31	40	41	68	89	107	116	118	141	170
24	31	40	41	89	103	107	116	117	118	163	170	183
0	26	31	40	41	68	69	79	89	107	116	118	170
24	31	40	41	60	89	107	116	117	118	170	183	197
0	26	31	40	41	68	89	107	116	118	126	130	170
22	24	31	41	68	89	107	116	117	118	158	170	200
31	40	41	89	104	107	116	117	118	170	182	195	201
31	40	81	89	102	107	116	117	118	170	176	183	190
31	40	41	68	89	102	107	111	115	116	118	170	196
0	8	26	31	40	41	68	89	107	116	118	170	193
24	31	40	41	78	89	107	116	117	118	170	183	203
31	40	41	89	103	107	116	117	118	170	184	195	201
0	26	31	40	41	68	71	89	107	116	118	170	202
