Neuron,seq0,reporter0,seq1,reporter1,seq2,reporter2,seq3,reporter3,seq4,reporter4,seq5,reporter5,seq6,reporter6,seq7,reporter7,seq8,reporter8,seq9,reporter9,seq10,reporter10,seq11,reporter11,seq12,reporter12,seq13,reporter13,seq14,reporter14,seq15,reporter15,seq16,reporter16,seq17,reporter17,seq18,reporter18,seq19,reporter19,seq20,reporter20,seq21,reporter21,seq22,reporter22,seq23,reporter23,seq24,reporter24,seq25,reporter25,seq26,reporter26,seq27,reporter27,seq28,reporter28,seq29,reporter29,seq30,reporter30,seq31,reporter31,seq32,reporter32
RIA,161.059966594782,1,0.0,0,0.0,0,0.0,0,0.0,0,54.763829177693,0,377.374189985984,0,35.2421886494921,0,182.00823573045,0,0.0,0,0.0,0,314.384258492722,0,0.0,0,47.818325828655,0,341.569020849944,0,77.6603446289895,0,0.0,0,0.0,0,207.183067601005,0,329.140721444502,0,2173.64737445822,1,0.0,0,0.0,0,66.8057018259709,0,128.502361541213,0,0.0,0,36.2075492820798,0,12.6128,0,19.2045521129212,0,0.0,0,137.160003411952,0,182.972664505269,0,284.856,0
ADL,191.703720628857,1,0.0,0,0.0,0,0.0,1,0.0,1,18.5701676575179,0,113.031046207203,0,17.7500967735556,0,20.5004198918274,1,7.547889,0,17.0169916951702,0,0.0,0,297.340001631619,0,0.0,0,0.0,0,64.0129049232498,0,14.9197682294076,0,0.0,1,232.015851375909,1,103.779603319013,0,107.110492104853,1,0.0,0,0.0,0,0.0,0,59.5053835369236,1,146.689559291152,1,0.0,1,0.0,0,15.071082618887,1,0.0,0,17.1676420063029,0,0.0,0,0.0,0
RIV,242.794864729283,0,0.0,0,6589.58335415396,0,0.0,0,0.0,0,29.7410328359538,1,88.0732497894842,0,21.3882677529015,0,208.496824415505,1,0.0,0,0.0,0,0.0,0,69.5923720904538,0,108.206811910721,1,0.0,0,62.6702722904372,0,42.8118656923753,0,0.0,0,0.0,0,174.447824764795,0,111.184359938633,0,0.0,0,2.428489,1,0.0,0,0.0,0,0.0,0,60.1101473529968,0,0.0,0,119.698878757552,1,0.0,0,86.6537752450561,0,1830.12482161568,1,0.0,0
RMD_LR,273.824389216406,0,65.3006880525958,1,543.330904685727,0,69.16024,0,0.0,0,63.5877443078591,1,367.522489066215,1,22.0139442471904,0,95.0190706858083,0,0.0,0,0.0,0,0.0,0,105.242892040268,0,129.943339020847,1,0.0,0,90.9654642932995,0,0.0,0,0.0,0,170.805946692899,0,275.064117898488,1,144.48865131991,0,0.0,0,0.0,1,0.0,1,0.0,1,0.0,0,169.47959783533,0,75.68421,1,38.4165987942995,1,0.0,0,154.067944127376,0,1894.96135053618,0,0.0,1
RMD_DV,279.868089718944,0,52.2189049641641,1,1369.32239559769,0,163.5721,0,0.0,0,90.387300854188,1,305.323896240035,1,63.3442277422267,0,0.0,0,0.0,0,0.0,0,81.4232504185622,0,146.953619735612,0,82.5952468338666,1,0.0,0,81.7863742757225,0,0.0,0,0.0,0,541.409733240654,0,301.378134656702,1,177.877710281818,0,0.0,0,0.0,1,0.0,1,0.0,1,0.0,0,231.990714335796,0,34.6282,1,52.5492089567983,1,0.0,0,244.098440866619,0,1189.56779782366,0,53.75993,1
RIC,329.742989813696,0,32.130088905704,1,734.13775974379,0,0.0,0,11.56014,1,0.0,1,168.962899255736,0,29.255894888803,0,76.5329465136804,0,0.0,0,7.73430037124008,1,49.7640795762903,0,90.6375130794001,1,402.562395037003,0,0.0,0,52.9706226967861,0,0.0,1,0.0,0,49.677897441093,0,286.041629516114,0,146.060352598952,0,0.0,0,20.10267,0,218.761922679467,0,0.0,0,0.0,0,105.426346180091,1,0.0,1,12.5895944220369,1,0.0,0,79.4803800258461,0,47.4951491049048,0,62.53379,1
RMG,215.469719125368,0,0.0,0,23792.5645339173,1,0.0,0,0.0,0,43.2130644228603,1,260.170995396455,0,0.0,0,46.3486319846451,0,8.004325,1,0.0,0,42.4458977992033,0,241.218567966327,1,75.3954229201738,0,0.0,0,377.928857102679,0,20.4148725672578,0,0.0,0,0.0,0,168.835793965708,1,115.694722689351,0,0.0,0,0.0,0,69.697278775344,0,98.8170247774804,0,0.0,0,52.2621678632388,0,6.630435,0,77.409310063965,1,982.729207551366,0,100.578841872102,0,180.239700937101,0,0.0,0
SAA,144.555180527199,0,0.0,0,14798.8852716778,1,54.77722,0,0.0,0,43.2078625605313,0,159.150406460333,0,86.230708697019,0,103.527309831455,0,69.74926,0,0.0,0,0.0,0,0.0,0,82.8792177696195,0,0.0,0,98.2406372754194,0,48.727445783703,0,54.25476,0,27.4345815629047,0,210.514512289727,0,134.134164174393,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,51.1988706137536,0,0.0,0,255.575073900532,0,89.0340666726343,0,120.7413,1
BAG,243.27591346291,0,0.0,0,998.289980508097,0,0.0,0,0.0,1,0.0,0,80.5780849165502,0,107.266732992318,0,0.0,0,144.6431,1,52.260072022674,0,40.6917872464197,0,390.941304231967,1,0.0,0,197.335821558099,1,44.1530768017694,0,0.0,0,0.0,1,163.486107278981,0,316.404204868409,0,147.407807803456,0,223.981978663674,0,0.0,0,105.752120882909,0,2.9581751434567,0,99.274338253014,0,0.0,0,0.0,0,30.9883062177062,0,0.0,0,82.6356427136913,0,1519.05369171073,0,0.0,0
FLP,628.364150758901,0,7.81409543968796,0,0.0,0,0.0,0,0.0,0,82.9324809560243,0,559.961388496279,0,32.3665607441568,0,178.168788908705,0,38.13113,0,47.9667764515416,1,0.0,0,53.3449811423015,0,0.0,0,0.0,0,21.6102759385002,0,0.0,1,0.0,0,35.4810620326782,0,465.443650864408,0,169.790040846457,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,153.402617563421,1,0.0,0,0.0,1,0.0,0,0.0,1,2412.48916164568,0,0.0,0
